ISBN, Price, Title, Amazon URL
9.78188E+12,0.95,A Demo a Day: A Year of Physical Science Demonstrations,http://www.amazon.com/Demo-Day-Physical-Science-Demonstrations/dp/1877991430/ref=sr_1_1?s=books&ie=UTF8&qid=1353890328&sr=1-1
684856360,0,Permission Marketing,http://www.amazon.com/Permission-Marketing-Turning-Strangers-Customers/dp/0684856360/ref=sr_1_1?s=books&ie=UTF8&qid=1353890332&sr=1-1
312204655,0,Getting Everything You Can Out of All You&#39;ve Got,http://www.amazon.com/Getting-Everything-You-Can-Youve/dp/0312204655/ref=sr_1_1?s=books&ie=UTF8&qid=1353890339&sr=1-1
9.78159E+12,0,Escape from Cubicle Nation,http://www.amazon.com/Escape-Cubicle-Nation-Corporate-Entrepreneur/dp/1591842573/ref=sr_1_1?s=books&ie=UTF8&qid=1353890343&sr=1-1
9.78039E+12,0,The Shallows,http://www.amazon.com/Shallows-What-Internet-Doing-Brains/dp/0393072223/ref=sr_1_1?s=books&ie=UTF8&qid=1353890348&sr=1-1
743201140,0,"Now, Discover Your Strengths",http://www.amazon.com/Discover-Your-Strengths-Marcus-Buckingham/dp/0743201140/ref=sr_1_1?s=books&ie=UTF8&qid=1353890352&sr=1-1
9.78081E+12,5.72,The Flat World and Education,http://www.amazon.com/Flat-World-Education-Commitment-Multicultural/dp/0807749621/ref=sr_1_1?s=books&ie=UTF8&qid=1353890357&sr=1-1
9.78042E+12,6.67,"Scientists Must Write: A Guide to Better Writing for Scientists, Engineers and Students (Routledge Study Guides)",http://www.amazon.com/Scientists-Must-Write-Engineers-Routledge/dp/0415269962/ref=sr_1_1?s=books&ie=UTF8&qid=1353890362&sr=1-1
9.7816E+12,2,Thinking in Systems,http://www.amazon.com/Thinking-Systems-Donella-H-Meadows/dp/1603580557/ref=sr_1_1?s=books&ie=UTF8&qid=1353890368&sr=1-1
801309808,0,Educational Research: An Introduction (6th Edition),http://www.amazon.com/Educational-Research-Introduction-Meredith-Gall/dp/0801309808/ref=sr_1_1?s=books&ie=UTF8&qid=1353890373&sr=1-1
034545040X,0.88,Rocks of Ages,http://www.amazon.com/Rocks-Ages-Science-Religion-Fullness/dp/034545040X/ref=sr_1_1?s=books&ie=UTF8&qid=1353890378&sr=1-1
1575000881,0,Nerds 2.0.1,http://www.amazon.com/Nerds-2-0-1-Stephen-Segaller/dp/1575000881/ref=sr_1_1?s=books&ie=UTF8&qid=1353890383&sr=1-1
60008806,0,Dot.Con,http://www.amazon.com/Dot-Con-Greatest-Story-Ever-Sold/dp/0060008806/ref=sr_1_1?s=books&ie=UTF8&qid=1353890387&sr=1-1
670852449,0,INSANELY GREAT,http://www.amazon.com/INSANELY-GREAT-Macintosh-Computer-Everything/dp/0670852449/ref=sr_1_1?s=books&ie=UTF8&qid=1353890391&sr=1-1
9.78039E+12,0,"iWoz: Computer Geek to Cult Icon: How I Invented the Personal Computer, Co-Founded Apple, and Had Fun Doing It",http://www.amazon.com/iWoz-Computer-Invented-Personal-Co-Founded/dp/0393330435/ref=sr_1_1?s=books&ie=UTF8&qid=1353890396&sr=1-1
9.78145E+12,2.8,Steve Jobs,http://www.amazon.com/Steve-Jobs-Walter-Isaacson/dp/1451648537/ref=sr_1_1?s=books&ie=UTF8&qid=1353890402&sr=1-1
60915277,0,"Odyssey: Pepsi to Apple... a Journey of Adventure, Ideas and the Future",http://www.amazon.com/Odyssey-Apple-Journey-Adventure-Future/dp/0060915277/ref=sr_1_1?s=books&ie=UTF8&qid=1353890407&sr=1-1
1573221252,0,The Courage to Be Rich: Creating a Life of Material and Spiritual Abundance,http://www.amazon.com/Courage-Be-Rich-Spiritual-Abundance/dp/1573221252/ref=sr_1_1?s=books&ie=UTF8&qid=1353890412&sr=1-1
9.78045E+12,1.05,"The Neatest Little Guide to Stock Market Investing, 2010 Edition",http://www.amazon.com/Neatest-Little-Guide-Market-Investing/dp/0452295823/ref=sr_1_1?s=books&ie=UTF8&qid=1353890419&sr=1-1
393325350,0,A Random Walk Down Wall Street,http://www.amazon.com/Random-Walk-Down-Wall-Street/dp/0393325350/ref=sr_1_1?s=books&ie=UTF8&qid=1353890425&sr=1-1
9.78159E+12,3.31,The Personal MBA,http://www.amazon.com/Personal-MBA-Master-Art-Business/dp/1591843529/ref=sr_1_1?s=books&ie=UTF8&qid=1353890430&sr=1-1
385491743,0,The 80/20 Principle,http://www.amazon.com/80-20-Principle-Secret-Achieving/dp/0385491743/ref=sr_1_1?s=books&ie=UTF8&qid=1353890435&sr=1-1
801110645,0,Health Framework for California Public Schools,http://www.amazon.com/Health-Framework-California-Public-Schools/dp/0801110645/ref=sr_1_1?s=books&ie=UTF8&qid=1353890439&sr=1-1
439139597,0,Harry Potter and the Goblet of Fire (Book 4),http://www.amazon.com/Harry-Potter-Goblet-Fire-Book/dp/0439139597/ref=sr_1_1?s=books&ie=UTF8&qid=1353890445&sr=1-1
9.78021E+12,0,Affirming Diversity,http://www.amazon.com/Affirming-Diversity-Sociopolitical-Multicultural-Education/dp/0205529828/ref=sr_1_1?s=books&ie=UTF8&qid=1353890449&sr=1-1
9.78047E+12,0.37,Dynamics in Document Design,http://www.amazon.com/Dynamics-Document-Design-Creating-Readers/dp/0471306363/ref=sr_1_1?s=books&ie=UTF8&qid=1353890454&sr=1-1
791436764,0,"Expanding Literacies: English Teaching and the New Workplace (Suny Series, Literacy, Culture, &amp; Learning: Theory &amp; Practice)",http://www.amazon.com/Expanding-Literacies-Teaching-Workplace-Literacy/dp/0791436764/ref=sr_1_1?s=books&ie=UTF8&qid=1353890459&sr=1-1
